"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"101533011",212.5833,"EL RENO","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","CANADIAN","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",35.5348,-97.9547,20,1,0,0,"N","N","N","N","N","Y","N","N","N",0.6591,0.0509,0.0057,0.1605,0.0281,0.0554,0.0771,0.0334,0.0492,0.0762,0.0961,0.1148,0.1246,0.189,0.1552,0.1949,0.0242,0.0755,0.0686,0.054,0.0469,0.032,0.0228,0.0243,0.0784,0.0652,0.0545,0.0514,0.0404,0.0344
"103166358",102,"OKLAHOMA CITY","ON PREMISE","OPEN STORE","EXTENDED MASTER ON-PREMISE","OTHER ON-PREMISE","1 STORE","OTHER","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",35.4845,-97.5765,0,0,0,0,"N","N","N","N","N","N","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101596622",592.2501,"ENID","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","GARFIELD","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",36.4014,-97.8898,35,2,0,0,"N","N","N","N","N","Y","N","N","N",0.7815,0.0285,0.0338,0.1002,0.02,0.0269,0.0532,0.0313,0.0492,0.1043,0.1049,0.1081,0.113,0.1897,0.1396,0.1911,0.0269,0.0779,0.0629,0.0558,0.0603,0.0379,0.0228,0.0243,0.0712,0.0586,0.057,0.0619,0.0445,0.0336
"102485974",14,"GROVE","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","OTHER","DELAWARE","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",36.5255,-94.7102,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7413,0.0064,0.0091,0.0534,0.0143,0.0138,0.0253,0.0538,0.0585,0.1344,0.1341,0.1074,0.095,0.193,0.1131,0.1646,0.0216,0.0466,0.0497,0.0596,0.0642,0.074,0.0425,0.0226,0.0506,0.0523,0.0607,0.0765,0.0784,0.048
"101910379",,"MIAMI","ON PREMISE","OPEN STORE","RECREATION","GOLF/COUNTRY CLUB","1 STORE","OTHER","OTTAWA","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","ASIAN(GENERAL)","WHITE COLLAR","GENERAL POPULATION",36.868,-94.8061,0,0,0,0,"N","N","N","N","N","Y","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"107300329",130,"CHICKASHA","ON PREMISE","OPEN STORE","DINING","POLISHED CASUAL","6-10 STORES","VARIED MENU","GRADY","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","UNKNOWN","UNKNOWN","UNKNOWN",35.0294,-97.9287,0,0,0,0,"Y","N","N","N","N","Y","Y","Y","N",0.8038,0.0525,0.0057,0.0556,0.0097,0.0166,0.0293,0.0371,0.0663,0.1048,0.1121,0.1063,0.0992,0.1895,0.1293,0.1926,0.0235,0.0655,0.0601,0.0573,0.0609,0.0417,0.0274,0.0258,0.0713,0.0618,0.0607,0.0691,0.0497,0.0449
"100926174",155.5832,"OKLAHOMA CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","AFRICAN AMERICAN (GENERAL)","UNKNOWN","UNKNOWN",35.493,-97.4618,35,2,0,0,"N","N","N","N","N","Y","N","N","N",0.151,0.7299,0.0121,0.0394,0.0092,0.0151,0.015,0.0446,0.1683,0.1388,0.1295,0.1062,0.0879,0.1698,0.0698,0.1298,0.0218,0.0543,0.0435,0.0497,0.0642,0.0416,0.0299,0.0245,0.0679,0.0577,0.0583,0.0753,0.0543,0.0533
"107331322",18,"HENNESSEY","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","PREMIUM BAR","1 STORE","OTHER","KINGFISHER","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",36.1097,-97.8991,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7595,0.0734,0.0357,0.0744,0.0143,0.0241,0.036,0.0293,0.0406,0.0636,0.0784,0.0865,0.0851,0.1826,0.1441,0.3192,0.0269,0.0669,0.0622,0.0584,0.0604,0.0398,0.0245,0.0264,0.0691,0.0649,0.0626,0.0652,0.0455,0.0349
"107346367",24,"MADILL","ON PREMISE","OPEN STORE","DINING","FAST CASUAL","1 STORE","AMERICAN","MARSHALL","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","UNKNOWN","UNKNOWN","UNKNOWN",34.0928,-96.7731,0,0,0,0,"N","N","N","N","N","Y","N","N","N",0.5807,0.0184,0.0069,0.2806,0.071,0.0703,0.1394,0.0423,0.0443,0.1124,0.119,0.1075,0.1022,0.1958,0.1222,0.1967,0.0262,0.0569,0.0569,0.0639,0.0512,0.0407,0.0275,0.0242,0.0597,0.0617,0.0599,0.0567,0.0448,0.0393
"102168093",14,"NOBLE","ON PREMISE","OPEN STORE","DINING","FAST CASUAL","1 STORE","AMERICAN","CLEVELAND","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",35.137,-97.3949,0,0,0,0,"N","N","N","N","N","Y","N","N","N",0.7681,0.0416,0.0397,0.061,0.0097,0.017,0.0344,0.0418,0.0774,0.0927,0.0951,0.0958,0.0883,0.1871,0.1212,0.2425,0.0581,0.0875,0.0644,0.0503,0.047,0.0323,0.0189,0.0551,0.079,0.0624,0.0535,0.0539,0.0401,0.0294
