"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"105606806",,"PARK CITY","ON PREMISE","OPEN STORE","LODGING","FULL SERVICE LODGING","1 STORE","OTHER","SUMMIT","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.6227,-111.489,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8023,0.0098,0.0444,0.1238,0.0222,0.04,0.0616,0.0143,0.0325,0.0531,0.0662,0.0751,0.0757,0.1993,0.1574,0.3408,0.0322,0.0765,0.0694,0.0542,0.0476,0.0296,0.017,0.0318,0.0744,0.0684,0.0541,0.0497,0.0327,0.0227
"100301249",679.5,"OGDEN","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","501+ STORES","OTHER","WEBER","MORE THAN 85K HOUSEHOLDS","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","BLUE COLLAR","GENERAL POPULATION",41.3058,-111.9686,50,2,0,0,"Y","Y","N","N","N","Y","N","N","N",0.9045,0.0043,0.0114,0.0671,0.0101,0.0165,0.0405,0.0092,0.0156,0.0309,0.0517,0.0697,0.0832,0.2291,0.2016,0.3182,0.0308,0.066,0.0588,0.0552,0.0594,0.0384,0.0255,0.0273,0.0649,0.0603,0.0583,0.0612,0.0422,0.0314
"102123365",975.5,"CEDAR CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","201-500 STORES","OTHER","IRON","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",37.6817,-113.0859,35,3,0,0,"Y","N","N","N","N","Y","N","N","N",0.8749,0.0075,0.018,0.0712,0.0202,0.0187,0.0323,0.0129,0.037,0.1019,0.1011,0.0895,0.0822,0.219,0.1518,0.2175,0.0475,0.0732,0.0571,0.0457,0.0446,0.0372,0.0237,0.0471,0.0685,0.0549,0.0494,0.048,0.0385,0.025
"100685660",69,"ROOSEVELT","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","DUCHESNE","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","BLUE COLLAR","GENERAL POPULATION",40.2966,-109.9886,50,2,0,0,"Y","Y","N","N","N","Y","N","N","N",0.7826,0.0031,0.0134,0.1219,0.0203,0.0387,0.063,0.0219,0.0338,0.0676,0.063,0.0639,0.0667,0.1999,0.183,0.322,0.0256,0.0793,0.0711,0.0422,0.0424,0.0245,0.0154,0.0262,0.0783,0.0648,0.0472,0.0428,0.0249,0.0177
"100572518",2003.3337,"PARK CITY","OFF PREMISE","OPEN STORE","GROCERY","SUPERMARKET-CONVENTIONAL","1 STORE","OTHER","SUMMIT","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.6615,-111.5095,375,41,33,10,"N","N","N","N","N","Y","N","N","N",0.771,0.0042,0.0299,0.1785,0.0402,0.0626,0.0756,0.0131,0.0396,0.0538,0.0543,0.0491,0.0583,0.1178,0.0909,0.5361,0.0243,0.0794,0.0733,0.0722,0.0782,0.0485,0.0199,0.0187,0.0681,0.0687,0.0711,0.0777,0.0446,0.0181
"101432147",1511.75,"PARK CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","SUMMIT","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.7255,-111.5444,70,2,0,0,"N","N","N","N","N","Y","N","N","N",0.8848,0.0035,0.0241,0.072,0.009,0.0249,0.0382,0.0137,0.0152,0.0113,0.0206,0.0287,0.0333,0.1281,0.1154,0.6473,0.026,0.0508,0.0617,0.0853,0.0791,0.0427,0.0143,0.0229,0.0497,0.0626,0.0893,0.0786,0.0404,0.0121
"101859766",18.75,"KAYSVILLE","OFF PREMISE","OPEN STORE","DRUG","CONVENTIONAL DRUG","501+ STORES","OTHER","DAVIS","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",41.0384,-111.9384,200,9,0,0,"Y","N","N","N","N","Y","N","N","N",0.9148,0.0053,0.0163,0.0505,0.009,0.0097,0.0318,0.0095,0.0205,0.0338,0.0444,0.0546,0.0549,0.1754,0.1679,0.4485,0.0302,0.0575,0.0627,0.0547,0.0503,0.0285,0.0165,0.0283,0.0585,0.0661,0.0574,0.051,0.0304,0.0208
"107057621",1,"OGDEN","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","AMERICAN","WEBER","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","BLUE COLLAR","GENERAL POPULATION",41.1762,-111.9486,0,0,0,0,"N","N","N","N","N","Y","N","N","N",0.7875,0.0143,0.0227,0.1538,0.0359,0.0464,0.0715,0.0164,0.049,0.0683,0.0822,0.0943,0.0983,0.2157,0.154,0.2383,0.0282,0.0809,0.0678,0.0502,0.0503,0.035,0.0246,0.0288,0.0778,0.0632,0.0519,0.0531,0.0382,0.0346
"102156273",9,"SOUTH JORDAN","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","11-25 STORES","AMERICAN","SALT LAKE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.543,-111.9819,0,0,0,0,"Y","Y","N","N","N","Y","Y","Y","N",0.8578,0.0054,0.0439,0.0776,0.0103,0.0213,0.046,0.0129,0.0104,0.0194,0.0315,0.0442,0.0494,0.1836,0.1808,0.4806,0.0285,0.0662,0.0705,0.0592,0.043,0.0231,0.0096,0.0279,0.0701,0.0733,0.0594,0.0444,0.0244,0.0125
"101953238",,"LAYTON","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","PIZZA","DAVIS","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",41.063,-111.969,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8297,0.0156,0.0279,0.1067,0.0187,0.0204,0.0676,0.0152,0.0267,0.0516,0.0622,0.0679,0.0679,0.2031,0.1745,0.3461,0.0288,0.0673,0.0719,0.0541,0.0457,0.0262,0.0144,0.0276,0.0691,0.0721,0.0549,0.0468,0.0281,0.0186
